timestamp,level,cmdb_id,failure_type,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46
1651858208,service,productcatalogservice,Kubernetes Container Network Resource Packet Corruption,productcatalogservice-2:0.5065587692655852,productcatalogservice-1:0.5029574191475817,productcatalogservice-0:0.48043455397470886,frontend-1:0.44846019854690106,productcatalogservice2-0:0.4291588199292186,frontend-0:0.42808492850850216,frontend-2:0.4243237435094596,shippingservice2-0:0.38074199042431345,checkoutservice-2:0.37078891662192537,currencyservice2-0:0.36673023486329054,frontend2-0:0.361883756436606,shippingservice-2:0.3545642425894744,checkoutservice-0:0.34171299317821796,checkoutservice-1:0.33462820746726246,paymentservice-0:0.31295901235693696,recommendationservice2-0:0.3094646899226174,paymentservice-1:0.3079189524697537,emailservice2-0:0.30675510275569234,shippingservice-0:0.3047382021566491,paymentservice2-0:0.3037047025259818,shippingservice-1:0.2944940547922591,recommendationservice-1:0.28333516260136876,emailservice-2:0.26787891961802707,paymentservice-2:0.2659611244332946,checkoutservice2-0:0.2401235822236012,emailservice-1:0.2390746162049848,emailservice-0:0.23358568891364004,cartservice-2:0.22126595631712156,recommendationservice-2:0.21935737116281728,recommendationservice-0:0.2041085427894946,currencyservice-1:0.19372377682769348,adservice-0:0.15124087080569962,currencyservice-2:0.1412168864470484,currencyservice-0:0.1355381647387298,adservice-2:0.12371468246565685,adservice2-0:0.12226664308001745,cartservice2-0:0.10835907657734706,adservice-1:0.10812413452578189,node-5:0.0954121015956846,node-3:0.0938431525998034,node-6:0.08283586891701028,cartservice-1:0.08012795995141213,node-4:0.07184714491764105,cartservice-0:0.06635293656074014,node-2:0.03660644907685411,node-1:0.02888066986856104
1651859583,pod,frontend-2,Kubernetes Container Write I/O Load,frontend2-0:0.45562280978728936,productcatalogservice2-0:0.45014850940839474,cartservice-1:0.39861473815043996,currencyservice2-0:0.38238617228817023,shippingservice2-0:0.3579123024778282,frontend-0:0.3484369623612095,productcatalogservice-0:0.34699272695533745,adservice-2:0.3249803439977023,adservice2-0:0.3226798103392292,frontend-2:0.30878635878325583,shippingservice-1:0.30767001400956817,cartservice2-0:0.3044303874051207,productcatalogservice-2:0.3013998991450732,adservice-0:0.29755884009490047,checkoutservice-1:0.2938951444755182,paymentservice2-0:0.29068213398322523,paymentservice-0:0.2874554643403513,productcatalogservice-1:0.2836736307314497,recommendationservice-2:0.278519322997332,currencyservice-0:0.27516547535614017,adservice-1:0.2730852274265735,checkoutservice-2:0.27249087012750123,cartservice-0:0.26631833545303174,node-3:0.262711228715192,shippingservice-0:0.2600723984087961,shippingservice-2:0.2591882030000001,checkoutservice-0:0.25045187517590445,currencyservice-1:0.24427928725768347,paymentservice-2:0.2441453228082943,checkoutservice2-0:0.24348885758949254,emailservice2-0:0.24116209286191914,cartservice-2:0.22704788393950046,frontend-1:0.22598329995229297,node-5:0.21929353349577427,currencyservice-2:0.217972389311567,recommendationservice-1:0.20228838390503232,paymentservice-1:0.19129279391084897,node-4:0.1889619794138774,node-6:0.17337171438769527,emailservice-2:0.16812923423905268,recommendationservice-0:0.16357587709369384,recommendationservice2-0:0.12883666470028302,emailservice-1:0.1251179833553479,emailservice-0:0.11424163028242511,node-1:0.09646341757987785,node-2:0.0436994936293822
1651860249,node,node-2,Node Disk Space Consumption,node-2:0.4999145404467112,node-6:0.37692261691660534,node-5:0.2970400742990382,currencyservice2-0:0.26795079718616094,node-4:0.25764929900967676,shippingservice2-0:0.23951350817157555,emailservice2-0:0.22394955843411102,adservice-2:0.21679107582095192,frontend2-0:0.21479409372676594,paymentservice2-0:0.2086936915028961,node-1:0.20753490309895797,shippingservice-0:0.20513040167401883,currencyservice-1:0.20392999556979285,recommendationservice-0:0.1952775134707785,productcatalogservice-2:0.1931186548778144,shippingservice-1:0.19224716332669844,productcatalogservice-0:0.19036817827113525,shippingservice-2:0.18463052281691072,checkoutservice-2:0.18452131255497436,recommendationservice-1:0.1843484891656615,cartservice-2:0.1818089557666477,currencyservice-2:0.1781885275823707,paymentservice-2:0.17625024561116787,node-3:0.17416431818229974,cartservice2-0:0.17172773879355638,productcatalogservice2-0:0.170180850961785,adservice2-0:0.16893435006072735,checkoutservice-1:0.16695763837390695,currencyservice-0:0.16688074920190757,frontend-1:0.15306710292256737,paymentservice-0:0.14931098281858698,cartservice-1:0.14698342949693935,paymentservice-1:0.14357666354658355,adservice-0:0.14054812119678187,checkoutservice-0:0.13771233807224922,productcatalogservice-1:0.1373390563200059,adservice-1:0.1346906549387106,recommendationservice-2:0.13222435449275452,frontend-0:0.13126615332925126,recommendationservice2-0:0.13119713962166732,emailservice-1:0.12108939614367022,frontend-2:0.12089051379835276,checkoutservice2-0:0.12043902953996972,emailservice-2:0.11655460992494537,cartservice-0:0.1134586139145377,emailservice-0:0.05714602676398086
1651863211,service,emailservice,Kubernetes Container Network Packet Loss,emailservice-0:0.6840837461520382,emailservice-1:0.518190413394663,shippingservice2-0:0.4823753931262484,emailservice-2:0.46235421811602934,currencyservice-0:0.36997036265960254,emailservice2-0:0.3674624380187966,currencyservice2-0:0.36686278991811966,cartservice-1:0.36184398483618985,productcatalogservice-0:0.35903900629369606,shippingservice-0:0.31310307580708474,checkoutservice-1:0.29558928398663054,currencyservice-1:0.28812783984541374,productcatalogservice2-0:0.28802932561831834,shippingservice-1:0.28119552758563254,cartservice-0:0.2622857312892419,adservice-0:0.25449557482214985,checkoutservice-0:0.25301246928922766,paymentservice-0:0.25236581598151875,paymentservice-1:0.24389956409000726,paymentservice2-0:0.24288114527840018,checkoutservice-2:0.2357311007284022,frontend-1:0.23347232520341035,cartservice-2:0.23294103903051852,adservice-2:0.23015533247120679,shippingservice-2:0.21730571615915395,checkoutservice2-0:0.21313204120830784,adservice2-0:0.20774112316035173,productcatalogservice-2:0.20622354130927226,paymentservice-2:0.19999336955487215,productcatalogservice-1:0.1771105104742141,recommendationservice-1:0.17651204731414052,recommendationservice-2:0.17229387490782766,frontend2-0:0.17040806760147584,currencyservice-2:0.16980887191726987,adservice-1:0.16159805946034933,recommendationservice-0:0.1389763330336379,cartservice2-0:0.13066715761598788,frontend-0:0.12138276692824522,frontend-2:0.09398381934141409,recommendationservice2-0:0.09074118254178688,node-3:0.044532930154470594,node-4:0.007348534110477463,node-5:0.006627014410067348,node-2:0.004475540244459753,node-1:0.004118198478519836,node-6:0.0021545263642257693
1651863857,node,node-6,Node Disk Write I/O Consumption,node-6:0.6884513205822721,node-2:0.44730783321051315,node-1:0.42465302039148084,node-4:0.3761422275341288,node-3:0.35346844557496765,node-5:0.25110489846358225,recommendationservice-2:0.10551054431614994,checkoutservice-0:0.07525334339811787,checkoutservice-1:0.07011644467147032,frontend-0:0.06473675395776718,emailservice2-0:0.05235740175420312,paymentservice-0:0.04237444248211949,paymentservice-1:0.04035201345828831,currencyservice-2:0.03963880432122083,checkoutservice-2:0.039372308295223715,frontend-2:0.039290688643745124,productcatalogservice-2:0.03821380271809712,shippingservice-2:0.035970286597324326,currencyservice-0:0.03490060044821689,cartservice2-0:0.03486150168153097,recommendationservice-0:0.034339663347366024,productcatalogservice-1:0.03424542282977918,emailservice-2:0.032863784324349395,paymentservice2-0:0.029351257794010117,adservice2-0:0.028222518663524116,recommendationservice2-0:0.027094016012387673,checkoutservice2-0:0.026116954044957758,adservice-2:0.02567437696928618,emailservice-0:0.023484857633308095,shippingservice2-0:0.02234739722343557,adservice-1:0.022166658922975493,cartservice-0:0.021445933537491548,shippingservice-1:0.021345039878170467,currencyservice-1:0.02007861480634523,recommendationservice-1:0.018743045125167224,cartservice-1:0.018625858317562975,emailservice-1:0.017941156005022562,frontend-1:0.017908844611746976,paymentservice-2:0.017798530807836065,shippingservice-0:0.017583708080573423,cartservice-2:0.01704893314825275,adservice-0:0.016854744513050298,productcatalogservice-0:0.0155254510171323,currencyservice2-0:0.013056473267258067,frontend2-0:0.012535731292097696,productcatalogservice2-0:0.01238429493922495
1651867434,node,node-5,Node Disk Space Consumption,node-5:0.552775658148774,node-3:0.5242984897427762,node-2:0.49714134664006515,node-6:0.47516470621207874,node-4:0.47451745184883554,node-1:0.3503763586820061,frontend-1:0.1161936583720028,productcatalogservice-2:0.10656362788948555,frontend-2:0.1054604005232686,adservice-2:0.10496912237933857,currencyservice-1:0.10370597546690159,shippingservice-1:0.10211691429563007,checkoutservice2-0:0.10182289534292599,cartservice-0:0.10021109025239726,shippingservice-0:0.098991782914984,cartservice-1:0.09827477384248144,productcatalogservice-1:0.09772057372093342,adservice-1:0.09560505062947909,adservice-0:0.0933142541806878,currencyservice-0:0.09132938974618542,productcatalogservice-0:0.08885446381277838,emailservice-1:0.08642083225805046,checkoutservice-1:0.08564633549648339,paymentservice2-0:0.08109131179203954,shippingservice-2:0.08066816692747006,emailservice-0:0.0796474013123988,cartservice-2:0.07855401871965897,checkoutservice-0:0.07684521537949819,adservice2-0:0.07577419971321121,checkoutservice-2:0.07392034146622638,shippingservice2-0:0.07188090385120634,currencyservice-2:0.07131126368458969,recommendationservice2-0:0.07043971993044214,recommendationservice-2:0.07032882913586777,emailservice-2:0.06988002912476367,cartservice2-0:0.06976265176821218,recommendationservice-1:0.06776416378766426,recommendationservice-0:0.06642196426301437,productcatalogservice2-0:0.06599986034181757,paymentservice-2:0.059432598733991863,paymentservice-1:0.057430396894764785,emailservice2-0:0.05728036862185152,frontend2-0:0.052772779410790886,paymentservice-0:0.05268346118774411,currencyservice2-0:0.05265519177358886,frontend-0:0.051912396540900886
1651870394,pod,productcatalogservice-2,Kubernetes Container Network Latency,productcatalogservice-2:0.8671959427260448,frontend-2:0.6454833390632494,frontend-1:0.6423046660420394,frontend-0:0.6032913917853581,recommendationservice-0:0.5766609598557494,recommendationservice-2:0.5748567663339069,recommendationservice-1:0.5609695884907507,emailservice-1:0.5595454532747938,checkoutservice-2:0.5404342266440315,checkoutservice-0:0.5207809683447925,checkoutservice-1:0.5190306713697038,adservice-2:0.5073755226035401,emailservice-2:0.46766001811638275,adservice-1:0.4643906335185954,adservice-0:0.4248555653810719,productcatalogservice-0:0.403441518080518,paymentservice-2:0.3985278309396776,productcatalogservice-1:0.39241521441422855,shippingservice-1:0.33850375093167767,paymentservice-1:0.33332169449748755,paymentservice-0:0.3287132709863389,emailservice-0:0.31063325019834276,shippingservice-2:0.31023311834728223,currencyservice-0:0.3051233181536324,currencyservice-2:0.2839016155126235,shippingservice-0:0.27624846715537227,cartservice-1:0.2734144703575447,cartservice-2:0.27275057882235104,currencyservice-1:0.2578305684430677,node-3:0.18413356342280807,cartservice-0:0.1748408093346051,node-5:0.17368107658164386,cartservice2-0:0.12893877651547997,paymentservice2-0:0.12159220527725416,node-6:0.12137722183223289,node-2:0.10525377503444659,currencyservice2-0:0.10222001778515667,frontend2-0:0.09871413433499453,adservice2-0:0.09686826937114341,checkoutservice2-0:0.08939318626232472,shippingservice2-0:0.08860055625697909,emailservice2-0:0.08850172070009531,recommendationservice2-0:0.08330124244641335,node-4:0.08076666105648271,productcatalogservice2-0:0.07724005928115739,node-1:0.052178539646524504
1651872135,node,node-5,Node Memory Consumption,node-5:0.42318459395749425,node-4:0.3392221912396563,emailservice-0:0.33458615049446894,shippingservice-1:0.3010139365013587,frontend-2:0.29766837682635383,productcatalogservice-1:0.2953057190656106,frontend-1:0.29119719767943497,productcatalogservice-0:0.2633389614080039,adservice-0:0.24535437427415663,recommendationservice-1:0.2426190045091052,currencyservice-1:0.23391305045955568,shippingservice-0:0.23316048914291718,adservice-2:0.22537164918235597,checkoutservice-0:0.22284378295816665,currencyservice2-0:0.2228379230005918,recommendationservice-0:0.21875488006515487,cartservice-1:0.21166316654591233,currencyservice-0:0.21125923244159137,productcatalogservice-2:0.20962795045088212,checkoutservice-2:0.20338419056775367,cartservice-0:0.20335473638729676,productcatalogservice2-0:0.20128675385372985,shippingservice2-0:0.19775564158636763,emailservice-2:0.1948883752638727,node-1:0.18827841540013743,paymentservice2-0:0.17988219701928154,emailservice-1:0.17499700613358837,checkoutservice2-0:0.17209466245723118,shippingservice-2:0.16542690458427248,adservice-1:0.15924837886831925,cartservice-2:0.15877898612989713,checkoutservice-1:0.1568599109391159,cartservice2-0:0.15254816123504492,recommendationservice-2:0.143159585583462,currencyservice-2:0.14087249163471346,paymentservice-1:0.1380673996001541,frontend-0:0.13546998327719903,emailservice2-0:0.13074557950146498,node-3:0.12907373794267957,frontend2-0:0.1195598967312105,paymentservice-0:0.11519284697241504,adservice2-0:0.11411622099704544,recommendationservice2-0:0.11012484877530815,paymentservice-2:0.10937948588506065,node-6:0.08918330731183118,node-2:0.071398716920848
1651875390,node,node-1,Node Disk Space Consumption,node-1:0.6501344693290015,node-2:0.34730165699292703,node-6:0.30540522253469277,adservice-1:0.2815013574390082,currencyservice-1:0.26382333642190214,recommendationservice-2:0.2602451425217019,node-5:0.2558078115778762,adservice-2:0.2531931795882308,cartservice-2:0.25047944839486763,paymentservice2-0:0.243803021314238,shippingservice2-0:0.24190707700345918,currencyservice-2:0.24153302258665357,recommendationservice-0:0.24077344087343455,productcatalogservice-0:0.2384308922988764,shippingservice-2:0.2358683283206813,paymentservice-0:0.23430198729679622,emailservice2-0:0.22994232823404384,cartservice-1:0.22241658462319946,cartservice2-0:0.2196087388523504,shippingservice-1:0.21903224127197232,paymentservice-2:0.21602773205734252,cartservice-0:0.21519215619778678,productcatalogservice-1:0.21484853148827757,emailservice-2:0.21121076293327187,node-4:0.21119821611086906,checkoutservice-1:0.1988290115392606,node-3:0.19673793754874003,currencyservice2-0:0.19669656096977053,emailservice-0:0.19122714956758188,recommendationservice-1:0.1885148818888138,currencyservice-0:0.18402353086308057,shippingservice-0:0.17778048092079482,productcatalogservice-2:0.17378163820432424,checkoutservice2-0:0.17174062349160568,frontend-0:0.1660908094699076,adservice2-0:0.162401595190597,frontend2-0:0.16157854327128393,recommendationservice2-0:0.15978266472772554,productcatalogservice2-0:0.15948001378364043,frontend-2:0.1543006018724886,checkoutservice-2:0.14300667323633856,checkoutservice-0:0.13973417607305033,paymentservice-1:0.13702089282999133,adservice-0:0.12407177290883264,frontend-1:0.12183583757584154,emailservice-1:0.11924976275942362
1651876445,service,frontend,Kubernetes Container Read I/O Load,frontend-1:0.7932279864594477,frontend2-0:0.7819691961924725,frontend-0:0.7815962560789519,frontend-2:0.7758834239818789,currencyservice2-0:0.573564737888602,productcatalogservice2-0:0.5511942913073692,shippingservice2-0:0.5138413451431414,cartservice2-0:0.5043134318956877,cartservice-2:0.49572760434665847,cartservice-0:0.49219160861698014,currencyservice-1:0.4724755818319493,paymentservice2-0:0.42989034031841794,currencyservice-0:0.4276462315166903,productcatalogservice-0:0.4173545085675408,recommendationservice-1:0.39786465679923205,recommendationservice2-0:0.3799338760977231,productcatalogservice-2:0.37783110649240975,emailservice-2:0.3761039013492921,currencyservice-2:0.3681340678692777,checkoutservice-1:0.36572312779178867,emailservice-1:0.3575214734098447,cartservice-1:0.3552977587995903,checkoutservice-0:0.3552818108297437,emailservice-0:0.3534316357529354,paymentservice-2:0.3532771249119881,recommendationservice-0:0.3468577218200373,checkoutservice-2:0.28432266584995475,paymentservice-1:0.26208860552371144,adservice2-0:0.2561295534914304,recommendationservice-2:0.25356090510187224,emailservice2-0:0.22386308520236486,shippingservice-0:0.22322400844132428,shippingservice-1:0.1961821626373639,adservice-0:0.1923509713073699,adservice-1:0.1845087575878495,paymentservice-0:0.18429555807072784,checkoutservice2-0:0.16265875553395873,adservice-2:0.15616128114673256,productcatalogservice-1:0.13351301943788196,shippingservice-2:0.09922702442475491,node-6:0.008112488304281398,node-5:0.003197963807335191,node-3:0.002756553142976888,node-4:0.00045829099785750635,node-2:5.511743657600075e-05,node-1:3.022297350767241e-05
