timestamp,injection_name,failure_type,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46,Top47,Top48,Top49,Top50,Top51
1752843630,ts3-ts-basic-service,7,ts-travel-service:0.9595110042919462,ts-seat-service:0.9580310864750218,ts-basic-service:0.9127139640427351,ts-train-food-service:0.8980931569556412,ts-ticket-office-service:0.8918869433947285,ts-inside-payment-service:0.8903665490233078,ts-execute-service:0.889568474233501,ts-admin-order-service:0.8887689544691649,ts-consign-price-service:0.8868481265906204,ts-admin-route-service:0.8773579399998606,ts-contacts-service:0.875340876714319,ts-admin-user-service:0.8719827574549825,ts-cancel-service:0.868356200627734,ts-admin-travel-service:0.8670557162337866,ts-price-service:0.8662034228649111,ts-verification-code-service:0.8661464916745851,ts-wait-order-service:0.8659996656502744,ts-ui-dashboard:0.8639649869400092,ts-travel-plan-service:0.8555606538845051,ts-admin-basic-info-service:0.8535071022953727,ts-preserve-service:0.8377075925321127,ts-food-service:0.794304394593537,ts-order-service:0.7781324609319236,rabbitmq:0.7711509005401744,mysql:0.7443578722788458,ts-route-service:0.7420835354362605,ts-config-service:0.693104903863315,ts-voucher-service:0.6883482397495071,ts-news-service:0.6862187255947759,loadgenerator:0.6831658545917934,ts-auth-service:0.6829653274718763,ts-payment-service:0.6702329619241543,ts-avatar-service:0.6670546850071223,ts-route-plan-service:0.6668426580569872,ts-train-service:0.6609364676427179,ts-consign-service:0.6601271975833582,ts-order-other-service:0.658849045975824,ts-food-delivery-service:0.6579043930965371,ts-gateway-service:0.6469377080792447,ts-rebook-service:0.6459084805849239,ts-station-service:0.6379318699854736,ts-security-service:0.6374574246126398,ts-assurance-service:0.6351282159165366,ts-user-service:0.6153830245765745,ts-delivery-service:0.6123807677788656,ts-station-food-service:0.611392080716584,ts-preserve-other-service:0.6100776849031235,ts-notification-service:0.6021381344417494,ts-travel2-service:0.598285418176574,federate:0.4698581817969648,:0.46938877949092045
1753311980,ts2-ts-consign-price-service,2,ts-consign-price-service:0.8492293122819228,ts-verification-code-service:0.6266587962896235,ts-voucher-service:0.5380930775665003,loadgenerator:0.5374314024445517,ts-gateway-service:0.5055269105130722,rabbitmq:0.4955118280874862,ts-avatar-service:0.48337979186633895,ts-ticket-office-service:0.4754740014393327,:0.4727307372154983,federate:0.47144032804501723,ts-admin-user-service:0.4272630602759169,ts-preserve-service:0.4151224728889175,ts-route-service:0.40779651917347326,ts-travel-plan-service:0.404844724808748,ts-cancel-service:0.39914045541784343,ts-order-service:0.38052090521729476,mysql:0.36821268022174475,ts-price-service:0.36226154428119245,ts-config-service:0.3451233158564031,ts-preserve-other-service:0.34485047567882626,ts-inside-payment-service:0.34258090585471684,ts-contacts-service:0.34167063776295964,ts-ui-dashboard:0.3375170279473195,ts-train-food-service:0.3368567246345079,ts-station-service:0.33113326682482813,ts-station-food-service:0.3267231724175269,ts-rebook-service:0.3182423083753171,ts-admin-order-service:0.2955208510096679,ts-admin-route-service:0.28912568536027217,ts-assurance-service:0.2814191082984957,ts-wait-order-service:0.2783234130525888,ts-user-service:0.27188739267417916,ts-food-delivery-service:0.2698843378665376,ts-order-other-service:0.2683249433558519,ts-route-plan-service:0.26392375389456296,ts-seat-service:0.255689725621153,ts-payment-service:0.24486233734257407,ts-admin-basic-info-service:0.23810194305996907,ts-admin-travel-service:0.22352493177414112,ts-train-service:0.21925521591020058,ts-news-service:0.21610517585491962,ts-food-service:0.21531219817386718,ts-basic-service:0.21062488358972034,ts-security-service:0.1941067815130346,ts-execute-service:0.16938851983369102,ts-travel2-service:0.1689195052119532,ts-consign-service:0.1664543798163616,ts-travel-service:0.15952328711613747,ts-auth-service:0.13775641468702246,ts-delivery-service:0.036874534235260464,ts-notification-service:0.032769598304322196
1753312030,ts2-ts-consign-price-service,2,ts-consign-price-service:0.7955863990754022,loadgenerator:0.6956459387028548,ts-admin-route-service:0.6913997147865739,ts-admin-travel-service:0.6396772349935811,ts-admin-user-service:0.6297890239424352,ts-ticket-office-service:0.6187338614047609,ts-preserve-service:0.6100331772748484,ts-station-service:0.6071270851201301,ts-contacts-service:0.6066021053408319,ts-route-service:0.5973497616768471,ts-route-plan-service:0.580329124207716,ts-train-food-service:0.5716377524027257,ts-train-service:0.5641737568534132,ts-cancel-service:0.5528892060241278,ts-ui-dashboard:0.5525437683335318,ts-rebook-service:0.5327048922067219,ts-price-service:0.5153032924670526,ts-preserve-other-service:0.5149157884271757,ts-execute-service:0.5086293165259602,ts-verification-code-service:0.5005110946556511,ts-assurance-service:0.4875768396813477,ts-voucher-service:0.48742002952837327,ts-admin-order-service:0.4872578884744602,ts-station-food-service:0.481763163330486,ts-user-service:0.48041403000511873,ts-wait-order-service:0.4792412880897472,ts-payment-service:0.4700648902247757,:0.4690227071996559,federate:0.4682198627163895,mysql:0.4668907261788646,ts-inside-payment-service:0.44207725348088545,ts-food-service:0.4304590868061717,ts-food-delivery-service:0.42956915949075014,ts-security-service:0.4119781346366703,rabbitmq:0.41082684085072774,ts-admin-basic-info-service:0.41081336985154737,ts-auth-service:0.4067726788165349,ts-travel-service:0.3771117920504971,ts-consign-service:0.37122048760860316,ts-avatar-service:0.36258375987965313,ts-travel2-service:0.33273005702769076,ts-seat-service:0.3198326542778783,ts-order-other-service:0.2628622283889257,ts-basic-service:0.2616541633809073,ts-travel-plan-service:0.2583022895788232,ts-order-service:0.25505372537242416,ts-news-service:0.25407329770390324,ts-gateway-service:0.22090643581449404,ts-config-service:0.16308126256737293,ts-notification-service:0.058899375397975795,ts-delivery-service:0.05097761901295646
1753312080,ts2-ts-consign-price-service,2,ts-consign-price-service:0.7623478727879041,loadgenerator:0.7003662804252476,ts-route-service:0.6404680369699052,ts-travel-plan-service:0.6191481105961248,ts-admin-route-service:0.60040986722253,ts-ui-dashboard:0.5699988338483924,ts-price-service:0.5623926799980707,ts-station-service:0.561552104637016,ts-admin-travel-service:0.5611116409088686,ts-ticket-office-service:0.5597501410461332,ts-admin-user-service:0.5385581044790231,ts-station-food-service:0.5128376375998291,ts-contacts-service:0.5086576992681138,:0.5012014334425077,federate:0.5004388705706235,ts-config-service:0.4830624546745342,ts-cancel-service:0.4787646842287506,ts-order-other-service:0.47875359205343443,ts-rebook-service:0.475197412220147,ts-train-food-service:0.47441571175054176,ts-voucher-service:0.4710398451499004,ts-inside-payment-service:0.46659789009129615,ts-security-service:0.4537016908671304,ts-route-plan-service:0.4491878455903734,mysql:0.4458369418267995,ts-auth-service:0.44485553080501156,ts-preserve-other-service:0.43120420492800676,ts-admin-order-service:0.4274818591667909,ts-execute-service:0.42587176287947004,rabbitmq:0.42304595173420245,ts-wait-order-service:0.41497533353133276,ts-train-service:0.40516455737731844,ts-assurance-service:0.40505378457195884,ts-user-service:0.40290164700580466,ts-gateway-service:0.38947769591308634,ts-payment-service:0.38632813738883454,ts-verification-code-service:0.3799430786100709,ts-preserve-service:0.3775057202113704,ts-food-delivery-service:0.3611557881120571,ts-seat-service:0.3444523667358465,ts-admin-basic-info-service:0.34341546260158323,ts-avatar-service:0.3411308519362001,ts-travel-service:0.3291797281869715,ts-food-service:0.31656987643903245,ts-order-service:0.2966728551877609,ts-basic-service:0.28269718126945687,ts-consign-service:0.2379730184872312,ts-news-service:0.21279617865563394,ts-travel2-service:0.1837522892482708,ts-delivery-service:0.07841151943104438,ts-notification-service:0.054962798950933804
1753312130,ts2-ts-consign-price-service,2,loadgenerator:0.7477251507726639,ts-consign-price-service:0.716141144753541,ts-admin-route-service:0.6763399941903623,ts-route-service:0.6649259478791008,ts-travel-plan-service:0.6608925806967034,ts-preserve-service:0.6575049619490674,ts-admin-travel-service:0.6402709529727181,ts-price-service:0.6243782634954687,ts-route-plan-service:0.6169617157119511,ts-admin-user-service:0.615455554375169,ts-station-service:0.5960346115810061,ts-ticket-office-service:0.5706778964785826,ts-order-other-service:0.5545750676307365,:0.554049943944133,federate:0.5529043749433094,ts-voucher-service:0.5526736462904017,ts-cancel-service:0.5482987272901334,ts-contacts-service:0.5393885165250525,ts-rebook-service:0.5384679672385828,ts-ui-dashboard:0.5356641392485408,ts-train-food-service:0.5147335575567796,ts-train-service:0.5140328360718633,ts-preserve-other-service:0.4999619023030927,mysql:0.495011900251517,ts-security-service:0.49453271798417736,ts-wait-order-service:0.487808338132362,ts-admin-order-service:0.48656263854940496,ts-station-food-service:0.485781353278478,ts-execute-service:0.4854523916504503,rabbitmq:0.47110109401533573,ts-inside-payment-service:0.4688048074022019,ts-gateway-service:0.46521503787954055,ts-avatar-service:0.43546018254740537,ts-assurance-service:0.41142582639505965,ts-auth-service:0.39900968782668567,ts-verification-code-service:0.39884608163727386,ts-food-delivery-service:0.3953838134803499,ts-config-service:0.3929736207900511,ts-payment-service:0.38927937002865365,ts-admin-basic-info-service:0.3877355575272872,ts-food-service:0.3546232740632326,ts-seat-service:0.32555627209157334,ts-travel-service:0.3221450406967541,ts-user-service:0.30409432462141506,ts-basic-service:0.28120090821838645,ts-consign-service:0.27927763402599354,ts-notification-service:0.2760730310646769,ts-order-service:0.24122326336371633,ts-news-service:0.2120405618782308,ts-delivery-service:0.18523131217104893,ts-travel2-service:0.16935652199235082
1753266900,ts1-ts-inside-payment-service,28,ts-inside-payment-service:0.9248932598975776,ts-ticket-office-service:0.5429392461018374,ts-order-other-service:0.4910677215493269,ts-price-service:0.4692241482754045,:0.44502069325547144,federate:0.44480913560404123,ts-route-plan-service:0.44474117329660534,ts-travel-plan-service:0.4432618385926078,ts-assurance-service:0.4415469487038288,ts-admin-user-service:0.44055637128202835,ts-food-delivery-service:0.43297945018704,ts-ui-dashboard:0.4324545840945082,ts-config-service:0.4282302069429067,ts-preserve-other-service:0.4230656294522091,ts-basic-service:0.42120547116446044,ts-voucher-service:0.41923291882769675,ts-route-service:0.4147191539846961,mysql:0.41361448932440636,ts-admin-order-service:0.4008941302414899,ts-seat-service:0.3973524172790737,ts-execute-service:0.388723478658639,ts-station-service:0.3825918006594247,ts-avatar-service:0.38110069618751125,ts-travel-service:0.3801050447184702,ts-auth-service:0.37993569557207907,ts-admin-route-service:0.3698936800954856,ts-cancel-service:0.36482921743670127,ts-admin-basic-info-service:0.36171325771619,ts-consign-price-service:0.3594883038462944,ts-wait-order-service:0.35940706784629406,ts-notification-service:0.359098639484678,ts-contacts-service:0.3589253932147093,ts-admin-travel-service:0.3533926354065723,ts-station-food-service:0.34799842842372697,ts-train-food-service:0.3477486541519679,ts-security-service:0.34544356245363966,ts-rebook-service:0.3392782577238439,loadgenerator:0.33230578415186696,ts-payment-service:0.3243964383982899,ts-user-service:0.3047622997794499,ts-delivery-service:0.2948226679789372,rabbitmq:0.27684867947535224,ts-news-service:0.26953673394484967,ts-order-service:0.26914770287251955,ts-gateway-service:0.2663160749960983,ts-verification-code-service:0.25869089109101795,ts-consign-service:0.24965783906605862,ts-travel2-service:0.23541405341017388,ts-food-service:0.2249926468974946,ts-train-service:0.16495967078239676,ts-preserve-service:0.14328880691844625
1753266950,ts1-ts-inside-payment-service,28,ts-inside-payment-service:0.8938597133215445,ts-assurance-service:0.5640931270191141,ts-food-delivery-service:0.5315562263301019,ts-route-plan-service:0.5310776716756554,ts-admin-route-service:0.5293317568908016,ts-admin-user-service:0.5100952923512506,ts-cancel-service:0.5095755710965603,ts-preserve-other-service:0.5020263465811923,ts-payment-service:0.48710253810609416,ts-admin-order-service:0.48328885405995886,ts-travel-service:0.482399009137094,ts-execute-service:0.4815212326665965,ts-ticket-office-service:0.47993597401905,ts-admin-basic-info-service:0.479366402009251,ts-train-food-service:0.4790904385301892,ts-admin-travel-service:0.47818749559423207,ts-order-other-service:0.4686364587383758,ts-wait-order-service:0.46409645699725666,ts-gateway-service:0.4634563360347749,ts-ui-dashboard:0.46212989511117736,:0.4598069108579834,federate:0.4594983875064227,ts-price-service:0.45932004757977474,ts-contacts-service:0.44581007432588493,ts-voucher-service:0.44466288734726017,ts-train-service:0.4288962281041538,ts-station-food-service:0.4268214830259348,ts-seat-service:0.425690547990884,ts-preserve-service:0.42202249258949953,ts-rebook-service:0.4200511640557544,ts-food-service:0.4159955830943051,ts-station-service:0.412829702764739,ts-avatar-service:0.4098665543356644,ts-route-service:0.4007904635478301,ts-notification-service:0.3971695899315563,mysql:0.38833652774849714,ts-consign-price-service:0.3882815008764362,ts-config-service:0.38641913069320216,ts-basic-service:0.38549188729024403,ts-consign-service:0.37804310573159405,ts-verification-code-service:0.3654063512308502,ts-security-service:0.3610341477357848,loadgenerator:0.35885541309435015,ts-auth-service:0.3462325640624893,ts-order-service:0.34488618332264676,ts-travel-plan-service:0.3329119486139094,ts-news-service:0.32607100121132954,rabbitmq:0.31582307462347603,ts-user-service:0.3094873638716479,ts-travel2-service:0.24146400800021003,ts-delivery-service:0.20718541788633918
1753267000,ts1-ts-inside-payment-service,28,ts-inside-payment-service:0.8317762578053609,ts-cancel-service:0.6295421635365315,ts-assurance-service:0.6174103556864651,ts-ui-dashboard:0.6013223927601927,ts-travel-service:0.5826917077710532,ts-config-service:0.5657037087783071,ts-payment-service:0.5644763118553865,ts-contacts-service:0.5632312182576268,ts-order-other-service:0.5590563303085399,ts-user-service:0.5514764930683907,ts-auth-service:0.5365288625419533,ts-admin-route-service:0.5359012740598831,ts-seat-service:0.5344121024541657,ts-station-food-service:0.5343577252539056,ts-order-service:0.5223229822137342,ts-route-plan-service:0.5115012765547703,ts-food-delivery-service:0.5092964779380504,ts-notification-service:0.5026642015581513,ts-admin-user-service:0.4864506400215813,ts-preserve-other-service:0.48447570122219963,ts-train-food-service:0.476362014421302,ts-admin-order-service:0.4762207460682589,loadgenerator:0.47598102370923795,ts-admin-basic-info-service:0.4741037235527632,ts-execute-service:0.47044371958876335,ts-travel-plan-service:0.46748576507793116,ts-wait-order-service:0.4654105564848271,ts-preserve-service:0.4647015355012078,:0.45878952024851816,federate:0.4585478010849826,ts-admin-travel-service:0.4545042704042017,ts-food-service:0.44576422899991197,ts-gateway-service:0.4422051029787351,ts-price-service:0.43604212491929306,ts-train-service:0.43237155561313556,ts-voucher-service:0.4320702589752231,ts-consign-price-service:0.42748534944857064,ts-avatar-service:0.4151083377537339,ts-rebook-service:0.3974755716564918,ts-ticket-office-service:0.3947596867937725,mysql:0.3900429785726933,ts-station-service:0.3897021808619011,ts-route-service:0.38218056981564297,ts-verification-code-service:0.36591095509527805,ts-basic-service:0.35633971430194655,ts-delivery-service:0.34864449738381087,ts-news-service:0.34428219480270056,ts-security-service:0.32196829537564176,rabbitmq:0.31681608731997235,ts-travel2-service:0.22052192656072,ts-consign-service:0.07494381467712873
1753267050,ts1-ts-inside-payment-service,28,ts-rebook-service:0.9805178470698754,ts-admin-travel-service:0.9802190566613584,ts-execute-service:0.9801870221215451,ts-admin-order-service:0.9801254457340717,ts-gateway-service:0.9797109589499897,ts-admin-user-service:0.979474772758887,ts-admin-basic-info-service:0.9793611613281,ts-preserve-other-service:0.9790180999850329,ts-cancel-service:0.9784098925026392,ts-food-delivery-service:0.9783782825454206,ts-admin-route-service:0.9771283651068966,ts-wait-order-service:0.9741578813415246,ts-voucher-service:0.9739689959436115,ts-payment-service:0.9737278386786976,ts-assurance-service:0.9716421208228628,ts-avatar-service:0.9714471028124095,ts-station-food-service:0.9710307300454918,ts-config-service:0.9672832810162265,ts-user-service:0.9653352564727438,ts-news-service:0.9647222834056357,ts-price-service:0.9644533681753336,ts-train-food-service:0.9642864534470406,ts-contacts-service:0.9629627675147182,ts-notification-service:0.9619612314506965,ts-consign-service:0.9613550388245835,ts-verification-code-service:0.9610599131733757,ts-train-service:0.9606019760973168,ts-station-service:0.9604410790146163,ts-preserve-service:0.9565328228567126,ts-route-plan-service:0.9552780048616512,ts-security-service:0.9530072844136085,ts-delivery-service:0.9528120628548382,ts-travel-plan-service:0.950557404208949,ts-food-service:0.9447693191559404,ts-consign-price-service:0.9445454354709281,ts-order-other-service:0.9378572417485121,ts-ticket-office-service:0.9363427636783739,ts-route-service:0.9304576428587248,rabbitmq:0.9289220703460794,ts-travel-service:0.9260585315833072,ts-inside-payment-service:0.913005118074534,ts-auth-service:0.8822216299389013,ts-basic-service:0.8730598643125979,ts-seat-service:0.8510243382346532,ts-ui-dashboard:0.8066111322396271,ts-travel2-service:0.8059374254407048,loadgenerator:0.8052299919456816,ts-order-service:0.7878190411084567,mysql:0.7449731026681499,federate:0.7083626316003806,:0.7067006208159263
1753274320,ts2-ts-preserve-service,8,ts-admin-route-service:0.8956395795730349,loadgenerator:0.8954513941082068,ts-wait-order-service:0.8856315969122003,ts-config-service:0.8746397190287378,ts-ui-dashboard:0.8686701445857943,ts-station-service:0.8487803248944228,ts-train-food-service:0.8457775255193277,ts-payment-service:0.821088369164054,ts-admin-user-service:0.8169238657971232,ts-contacts-service:0.8025754834166191,ts-consign-service:0.7995664373782327,ts-admin-basic-info-service:0.7910309569583284,ts-train-service:0.7831760983137608,ts-preserve-other-service:0.7581834132376796,ts-admin-order-service:0.7480133155480613,ts-consign-price-service:0.7399689575309885,ts-gateway-service:0.7370614845329028,ts-route-service:0.732622136677697,ts-route-plan-service:0.7209545925243959,ts-execute-service:0.7114343215549842,ts-preserve-service:0.7079287363595967,ts-station-food-service:0.7049142030739676,ts-voucher-service:0.7044838674832827,ts-admin-travel-service:0.703403119911993,ts-auth-service:0.6942873851860254,:0.6929198279290414,federate:0.6923593245317088,ts-food-delivery-service:0.6834743541013076,ts-travel-service:0.6734985670371512,ts-user-service:0.6625750078425849,ts-cancel-service:0.636236027377592,mysql:0.6237409252239581,rabbitmq:0.6159023777267278,ts-seat-service:0.6102495718986773,ts-rebook-service:0.6049763578103609,ts-food-service:0.5892652953226504,ts-order-service:0.5880004501728677,ts-assurance-service:0.5783481741417587,ts-travel-plan-service:0.5754311576334045,ts-ticket-office-service:0.5693030438331349,ts-news-service:0.5594430312760286,ts-inside-payment-service:0.5422062707882307,ts-verification-code-service:0.5415158738314213,ts-notification-service:0.522993065187136,ts-avatar-service:0.48171616476707657,ts-order-other-service:0.4810779552044729,ts-security-service:0.4567096360016285,ts-travel2-service:0.4033981252571186,ts-basic-service:0.35258179919302113,ts-price-service:0.26313908221361604,ts-delivery-service:0.13773061412326554
