comparison,metric,paired_cases,delta,bootstrap_ci_low,bootstrap_ci_high,prob_delta_gt_0,bootstrap_iterations,seed
crest_residual_vs_crest,MRR,1422,0.011720581340834505,0.007792721518987342,0.01570557899671824,1.0,1000,20250610
crest_residual_vs_crest,AC@1,1422,0.02250351617440225,0.014767932489451477,0.030256680731364262,1.0,1000,20250610
crest_residual_vs_crest,AC@3,1422,0.0,-0.002109704641350211,0.002109704641350211,0.336,1000,20250610
crest_residual_vs_crest,AC@5,1422,0.0,0.0,0.0,0.0,1000,20250610
crest_residual_vs_crest_local,MRR,1422,0.06290787769242633,0.0522719483070693,0.07384704103506877,1.0,1000,20250610
crest_residual_vs_crest_local,AC@1,1422,0.11744022503516174,0.09774964838255977,0.13783403656821377,1.0,1000,20250610
crest_residual_vs_crest_local,AC@3,1422,0.004922644163150493,-0.003533755274261602,0.013361462728551337,0.847,1000,20250610
crest_residual_vs_crest_local,AC@5,1422,0.004219409282700422,-0.0014064697609001407,0.010548523206751054,0.911,1000,20250610
crest_residual_vs_crest_nocf,MRR,1422,0.22235853869184605,0.2044218867336912,0.24074921470744193,1.0,1000,20250610
crest_residual_vs_crest_nocf,AC@1,1422,0.33263009845288327,0.30307665260196903,0.3649789029535865,1.0,1000,20250610
crest_residual_vs_crest_nocf,AC@3,1422,0.12869198312236288,0.1090014064697609,0.14838255977496484,1.0,1000,20250610
crest_residual_vs_crest_nocf,AC@5,1422,0.035864978902953586,0.02461322081575246,0.04781997187060478,1.0,1000,20250610
crest_residual_vs_crest_metric_trace,MRR,1422,0.06881274047719325,0.0589606196417465,0.07925684215116147,1.0,1000,20250610
crest_residual_vs_crest_metric_trace,AC@1,1422,0.11954992967651196,0.1019690576652602,0.13783403656821377,1.0,1000,20250610
crest_residual_vs_crest_metric_trace,AC@3,1422,0.011954992967651195,0.00209212376933896,0.02109704641350211,0.991,1000,20250610
crest_residual_vs_crest_metric_trace,AC@5,1422,0.002109704641350211,-0.004219409282700422,0.008438818565400843,0.708,1000,20250610
