feature,active_cases,active_rate,quality,median_peak,median_p95,mean_agreement,mean_top_agreement,mean_concentration,mean_contrast,mean_top_gap,current_weight,raw_strength,calibrated_weight,calibrated_to_current_ratio
metric_max_z,1422,1.0,0.43869700658748373,20.459300994873047,4.044489908218383,0.732646686656734,0.16907552519366867,0.07367033588510707,0.38050683407836366,0.2732588033604986,0.75,0.12473470106043168,0.9919359963162419,1.3225813284216559
metric_mean_z,1422,1.0,0.4858525096739203,13.33944320678711,1.9676985502243016,0.7358371796755766,0.1972534771057978,0.1476025300018296,0.4521720467829406,0.3408227304136445,0.75,0.26420543138370844,2.101058290786225,2.8014110543816333
metric_anomaly_count,1422,1.0,0.3043099860039392,2.890371799468994,2.645956683158875,0.668247068912088,0.20729075971692007,0.023287650850469334,0.3122689139104514,0.030632024924564075,0.75,0.12676277765525082,1.008064003683758,1.3440853382450106
metric_value_delta,1422,1.0,0.252137237001114,20.730518341064453,20.277228164672852,0.8037344781637417,0.1787832362199451,0.0005040172622461966,0.03805037702072068,0.008562309107846671,0.75,0.016800772853736424,0.13360589489431557,0.17814119319242075
metric_count_drop_shift,904,0.6357243319268636,0.2722405950345004,0.1326218992471695,0.1317453384399414,0.4281942222766402,0.17806266680713587,0.18646244115081442,0.17687024652930977,0.21701414821635273,10.0,1.5764546385200608,12.536544275278722,1.2536544275278723
trace_duration_z,1422,1.0,0.5132108550896214,1.9284542798995972,0.9246545061469076,0.5651715328965037,0.22857477730895454,0.28031583610212685,0.7634105000307233,0.2468025028312282,1.0,0.5506990056128588,4.379360051043876,4.379360051043876
trace_duration_delta,1422,1.0,0.29331964514795084,20.266481399536133,19.29654560089111,0.8445119520831238,0.22004665907619497,0.004238724593550659,0.13911648956960795,0.017977184187387397,1.0,0.020436642028383464,0.16251965731622348,0.16251965731622348
trace_count_delta,1422,1.0,0.2872246347124579,9.455284118652344,8.815169954299927,0.859008622636089,0.1911643560377738,0.007282399323391968,0.0940645250899714,0.03230746912615289,1.0,0.04050550629397119,0.3221146112543148,0.3221146112543148
trace_count_rise_shift,788,0.5541490857946554,0.27958448203468067,1.6853704452514648,1.5493629842996595,0.42090446016745664,0.32537013536379017,0.2312305735070715,0.13072014489787273,0.2683484495784281,6.0,0.1725516821777,1.37219413139938,0.22869902189989666
trace_count_drop_shift,1421,0.9992967651195499,0.26047010371820556,2.0846927165985107,2.042094039916992,0.754406073272708,0.14810188443193373,0.022277207094414084,0.09578909566427582,0.024760728603947155,0.85,0.13697581438290826,1.0892818097612755,1.2815080114838535
trace_endpoint_shift,1422,1.0,0.37126339612721443,1.1091153025627136,1.0122468635439867,0.6194394903891571,0.23272553747237293,0.11419819209606825,0.5023756696441005,0.05277139955367554,6.0,0.36721831818504275,2.920254469828562,0.48670907830476035
trace_error_rate,0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.041666666666666664,0.041666666666666664
trace_status_code_shift,1384,0.9732770745428974,0.3498304165542381,0.5692159831523895,0.531396797299385,0.28822861351950146,0.3780490182585558,0.3916943506472054,0.2936257305490381,0.45742529542602256,16.0,0.615482914885201,4.894545408791183,0.30590908804944894
trace_self_duration_relative_shift,1409,0.990857946554149,0.3779088189231017,5.088332176208496,3.702788233757019,0.4939141745508436,0.34623621390832177,0.16692679674808306,0.4493888006434726,0.23830653887189687,1.5,0.11617501808962462,0.9238662644484026,0.6159108429656017
log_count_delta,1422,1.0,0.31239814596596577,8.834264278411865,8.37371368408203,0.9132095417434971,0.2593133971825955,0.015053047217881182,0.13471673109797216,0.02435677697507615,0.75,0.04614048456644385,0.3669260209054071,0.4892346945405428
log_error_rate,1422,1.0,0.3292289394743114,0.6931471824645996,0.48378374353051135,0.3440988514493752,0.23195560690286432,0.1657119028867817,0.4496322374924903,0.2119411959844673,0.75,0.6328661384448095,5.032783164878275,6.710377553171033
log_template_delta,1422,1.0,0.32668451161114964,7.820438861846924,7.196000623703002,0.7742146845594295,0.294474583082178,0.03598741455953393,0.25197651239630664,0.041585886762163946,0.75,0.05530271739106241,0.4397874497468187,0.5863832663290917
topology_in_degree,1422,1.0,0.3123925797877601,1.945910096168518,1.8842498540878292,0.8231955742479519,0.1889603286227759,0.00786491568148192,0.2386000035266895,0.031172938576412967,0.0,0.17663471759646743,0.0,
topology_out_degree,1422,1.0,0.3942629963853958,2.8332133293151855,2.1251342058181746,0.8039415954081489,0.2163315138526109,0.03376668495201787,0.49026824542439446,0.11798735676579535,0.0,0.20004987884463185,0.0,
abnormal_metric_rows,1422,1.0,0.2272657965666285,7.239214897155762,7.183111667633057,0.7601415181995814,0.11483155850244456,5.954154046124346e-06,0.002678874693994069,0.003794453829424616,1.25,0.038534765749988695,0.3064425611483142,0.24515404891865136
abnormal_trace_rows,1422,1.0,0.2906685444073058,9.54616403579712,8.734732007980346,0.8358919707931723,0.1965106154979573,0.01123038769492815,0.10927253893197758,0.04234586876105637,1.25,0.04133076172876029,0.3286773445191047,0.26294187561528376
