feature,family,base_weight,multiplier,calibrated_weight
metric_max_z,metric_magnitude,0.75,1.28,0.96
metric_mean_z,metric_magnitude,0.75,1.28,0.96
metric_anomaly_count,metric_magnitude,0.75,1.28,0.96
metric_value_delta,metric_magnitude,0.75,1.28,0.96
metric_count_drop_shift,availability_drop,10.0,1.28,12.8
trace_duration_z,trace_latency,1.0,0.793976256208661,0.793976256208661
trace_duration_delta,trace_latency,1.0,0.793976256208661,0.793976256208661
trace_count_delta,trace_traffic,1.0,0.72,0.72
trace_count_rise_shift,trace_traffic,6.0,0.72,4.32
trace_count_drop_shift,availability_drop,0.85,1.28,1.088
trace_endpoint_shift,trace_protocol,6.0,0.7577278942364886,4.546367365418932
trace_error_rate,trace_protocol,1.0,0.7577278942364886,0.7577278942364886
trace_status_code_shift,trace_protocol,16.0,0.7577278942364886,12.123646307783817
trace_self_duration_relative_shift,trace_latency,1.5,0.793976256208661,1.1909643843129913
log_count_delta,log_evidence,0.75,0.7233501357507489,0.5425126018130617
log_error_rate,log_evidence,0.75,0.7233501357507489,0.5425126018130617
log_template_delta,log_evidence,0.75,0.7233501357507489,0.5425126018130617
topology_in_degree,topology_context,0.0,1.0,0.0
topology_out_degree,topology_context,0.0,1.0,0.0
abnormal_metric_rows,observability_volume,1.25,0.72,0.8999999999999999
abnormal_trace_rows,observability_volume,1.25,0.72,0.8999999999999999
