feature,family,base_weight,multiplier,calibrated_weight
metric_max_z,metric_magnitude,0.75,1.08,0.81
metric_mean_z,metric_magnitude,0.75,1.08,0.81
metric_anomaly_count,metric_magnitude,0.75,1.08,0.81
metric_value_delta,metric_magnitude,0.75,1.08,0.81
metric_count_drop_shift,availability_drop,10.0,1.08,10.8
trace_duration_z,trace_latency,1.0,0.92,0.92
trace_duration_delta,trace_latency,1.0,0.92,0.92
trace_count_delta,trace_traffic,1.0,0.92,0.92
trace_count_rise_shift,trace_traffic,6.0,0.92,5.5200000000000005
trace_count_drop_shift,availability_drop,0.85,1.08,0.918
trace_endpoint_shift,trace_protocol,6.0,0.92,5.5200000000000005
trace_error_rate,trace_protocol,1.0,0.92,0.92
trace_status_code_shift,trace_protocol,16.0,0.92,14.72
trace_self_duration_relative_shift,trace_latency,1.5,0.92,1.3800000000000001
log_count_delta,log_evidence,0.75,0.92,0.6900000000000001
log_error_rate,log_evidence,0.75,0.92,0.6900000000000001
log_template_delta,log_evidence,0.75,0.92,0.6900000000000001
topology_in_degree,topology_context,0.0,1.0,0.0
topology_out_degree,topology_context,0.0,1.0,0.0
abnormal_metric_rows,observability_volume,1.25,0.92,1.1500000000000001
abnormal_trace_rows,observability_volume,1.25,0.92,1.1500000000000001
